"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene" "celltype"
"64" 0 2.85124691629653 0.941 0.298 0 3 "Ccl3" "Neutrophils"
"65" 0 2.54179562987749 0.866 0.245 0 3 "Tnf" "Neutrophils"
"66" 0 2.40465144291804 0.847 0.282 0 3 "Ccl4" "Neutrophils"
"67" 0 2.38336766411632 0.928 0.355 0 3 "Ccrl2" "Neutrophils"
"68" 0 2.3671187208132 0.946 0.274 0 3 "Il1rn" "Neutrophils"
"69" 0 2.35249038922454 0.997 0.496 0 3 "Cxcl2" "Neutrophils"
"70" 0 2.32655927154502 0.831 0.036 0 3 "Hdc" "Neutrophils"
"71" 0 2.30497804349239 0.991 0.298 0 3 "Clec4e" "Neutrophils"
"72" 0 2.2513909723733 0.891 0.179 0 3 "Slc7a11" "Neutrophils"
"73" 0 2.22628853469406 0.999 0.546 0 3 "Plek" "Neutrophils"
"74" 0 2.22514691836492 0.994 0.525 0 3 "Tnfaip2" "Neutrophils"
"75" 0 2.21395805953282 0.842 0.073 0 3 "Il1r2" "Neutrophils"
"76" 0 2.0875321382037 0.975 0.426 0 3 "Marcksl1" "Neutrophils"
"77" 0 2.05191694576371 0.979 0.517 0 3 "2810474O19Rik" "Neutrophils"
"78" 0 2.02251461828426 1 0.644 0 3 "Srgn" "Neutrophils"
"79" 0 1.96449637309495 0.972 0.392 0 3 "Bcl2a1b" "Neutrophils"
"80" 0 1.92510704796783 0.82 0.228 0 3 "Csf1" "Neutrophils"
"81" 0 2.46396037281448 0.952 0.538 0 4 "Spp1" "M1"
"82" 0 2.33303690038225 0.954 0.425 0 4 "Pf4" "M1"
"83" 0 1.59014113626713 0.995 0.877 0 4 "Ctsl" "M1"
"84" 0 1.55537055870689 0.889 0.553 0 4 "Fabp5" "M1"
"85" 0 1.54822923379134 0.842 0.327 0 4 "Ccl7" "M1"
"86" 0 1.43802064373062 0.999 0.888 0 4 "Ctsd" "M1"
"87" 0 1.41678231516917 0.999 0.731 0 4 "Lgals3" "M1"
"88" 0 1.39812099266215 0.58 0.038 0 4 "Arg1" "M1"
"89" 0 1.36443882099629 0.995 0.669 0 4 "Plin2" "M1"
"90" 0 1.24378196529485 0.956 0.586 0 4 "Hmox1" "M1"
"91" 0 1.23541062959423 0.724 0.154 0 4 "Cd36" "M1"
"92" 0 1.16402426574664 0.998 0.804 0 4 "Cstb" "M1"
"93" 0 1.13662130434949 0.999 0.696 0 4 "Lgmn" "M1"
"94" 0 1.1120454814909 0.893 0.379 0 4 "Ccl2" "M1"
"95" 0 1.10732973305151 0.868 0.451 0 4 "Ccl6" "M1"
"96" 0 1.08747901296003 0.865 0.205 0 4 "F13a1" "M1"
"97" 0 1.0730274732334 0.986 0.627 0 4 "S100a4" "M1"
"98" 0 1.02690491687936 0.99 0.72 0 4 "Capg" "M1"
"99" 0 1.02210490156429 0.979 0.682 0 4 "Aprt" "M1"
"100" 0 1.0154255146153 1 0.997 0 4 "Ftl1" "M1"
"101" 0 2.82080821850088 0.766 0.105 0 5 "Cxcl3" "Leukocytes"
"102" 0 2.41640732482953 0.993 0.579 0 5 "Thbs1" "Leukocytes"
"103" 0 2.36119274661264 0.765 0.125 0 5 "Chil3" "Leukocytes"
"104" 0 2.30973053671858 0.976 0.445 0 5 "Ccl6" "Leukocytes"
"105" 0 2.1855685130599 0.983 0.436 0 5 "Ccl9" "Leukocytes"
"106" 0 2.08957442343029 0.847 0.328 0 5 "Ptgs2" "Leukocytes"
"107" 0 1.92632833130639 0.932 0.44 0 5 "Il1b" "Leukocytes"
"108" 0 1.87452545386763 0.901 0.364 0 5 "Vcan" "Leukocytes"
"109" 0 1.86757948253707 0.879 0.094 0 5 "F10" "Leukocytes"
"110" 0 1.76738534679459 0.983 0.499 0 5 "Cxcl2" "Leukocytes"
"111" 0 1.72862976194544 0.845 0.384 0 5 "Ccl2" "Leukocytes"
"112" 0 1.72615661069245 0.997 0.535 0 5 "Cd14" "Leukocytes"
"113" 0 1.71943997523871 0.669 0.081 0 5 "Slpi" "Leukocytes"
"114" 0 1.54900631006724 0.993 0.301 0 5 "Clec4e" "Leukocytes"
"115" 0 1.5105951983846 0.74 0.172 0 5 "Mmp19" "Leukocytes"
"116" 0 1.45481069749622 0.917 0.185 0 5 "Msr1" "Leukocytes"
"117" 0 1.45032836777115 0.283 0.01 0 5 "Serpinb2" "Leukocytes"
"118" 0 1.41235649443181 0.868 0.183 0 5 "Slc7a11" "Leukocytes"
"119" 0 1.40320259724688 0.997 0.627 0 5 "S100a4" "Leukocytes"
"120" 0 1.40253647848542 0.991 0.721 0 5 "Ier3" "Leukocytes"
"121" 0 2.60888818211762 0.991 0.22 0 6 "Postn" "Wisp1_FAPs"
"122" 0 2.150163800321 0.999 0.422 0 6 "Bgn" "Wisp1_FAPs"
"123" 0 2.1284309055172 0.98 0.209 0 6 "Csrp2" "Wisp1_FAPs"
"124" 0 1.93215389332847 0.792 0.046 0 6 "Sfrp2" "Wisp1_FAPs"
"125" 0 1.7594706723646 0.865 0.095 0 6 "Cthrc1" "Wisp1_FAPs"
"126" 0 1.74489969899741 0.873 0.095 0 6 "Ptn" "Wisp1_FAPs"
"127" 0 1.73202185659691 0.999 0.52 0 6 "Col1a1" "Wisp1_FAPs"
"128" 0 1.72863373528045 1 0.562 0 6 "Col1a2" "Wisp1_FAPs"
"129" 0 1.65326839377476 0.71 0.054 0 6 "Tnc" "Wisp1_FAPs"
"130" 0 1.63638815038803 0.674 0.119 0 6 "H19" "Wisp1_FAPs"
"131" 0 1.53672329084077 0.97 0.271 0 6 "Aspn" "Wisp1_FAPs"
"132" 0 1.50850694082209 1 0.467 0 6 "Serpinh1" "Wisp1_FAPs"
"133" 0 1.50464426619833 0.846 0.096 0 6 "Col8a1" "Wisp1_FAPs"
"134" 0 1.46433021023661 0.999 0.412 0 6 "Col5a2" "Wisp1_FAPs"
"135" 0 1.43512536280787 0.942 0.133 0 6 "Lox" "Wisp1_FAPs"
"136" 0 1.40015873042594 1 0.582 0 6 "Sparc" "Wisp1_FAPs"
"137" 0 1.38819339727246 0.991 0.307 0 6 "Aebp1" "Wisp1_FAPs"
"138" 0 1.36030291856596 0.991 0.34 0 6 "Col5a1" "Wisp1_FAPs"
"139" 0 1.34876617177248 0.716 0.164 0 6 "Mest" "Wisp1_FAPs"
"140" 0 1.32030094197828 0.992 0.293 0 6 "Rcn3" "Wisp1_FAPs"
"141" 0 2.17049800021245 0.999 0.43 0 7 "H2-Eb1" "Cd209a_DC"
"142" 0 2.1373609402904 1 0.463 0 7 "H2-Ab1" "Cd209a_DC"
"143" 0 2.0535435368625 1 0.455 0 7 "H2-Aa" "Cd209a_DC"
"144" 0 2.0184074814176 1 0.574 0 7 "Cd74" "Cd209a_DC"
"145" 0 1.47481888574701 0.465 0.013 0 7 "Cd209a" "Cd209a_DC"
"146" 0 1.3832187970939 0.959 0.272 0 7 "H2-DMb1" "Cd209a_DC"
"147" 0 1.34845391131835 0.91 0.218 0 7 "Napsa" "Cd209a_DC"
"148" 0 1.34333103093091 0.932 0.252 0 7 "Plbd1" "Cd209a_DC"
"149" 0 1.32651983536372 0.38 0.023 0 7 "Ccr7" "Cd209a_DC"
"150" 0 1.30889341964887 0.882 0.25 0 7 "Cytip" "Cd209a_DC"
"151" 0 1.28337339294041 0.543 0.113 0 7 "Tnip3" "Cd209a_DC"
"152" 0 1.22754347381057 0.958 0.352 0 7 "H2-DMa" "Cd209a_DC"
"153" 0 1.17518999451218 0.974 0.644 0 7 "Gm2a" "Cd209a_DC"
"154" 0 1.17377130506169 1 0.982 0 7 "Cst3" "Cd209a_DC"
"155" 0 1.11788914530061 0.913 0.424 0 7 "Syngr2" "Cd209a_DC"
"156" 0 1.10613636189495 0.993 0.898 0 7 "H2afz" "Cd209a_DC"
"157" 0 1.10538312013492 0.986 0.664 0 7 "Lsp1" "Cd209a_DC"
"158" 0 1.09027885057067 0.889 0.553 0 7 "Rel" "Cd209a_DC"
"159" 0 1.06992787502103 0.812 0.252 0 7 "Traf1" "Cd209a_DC"
"160" 1.84236919972265e-298 1.12609755644133 0.307 0.092 3.43417618828303e-294 7 "Ifitm1" "Cd209a_DC"
"161" 0 1.16342014857014 0.989 0.576 0 8 "Cd74" "Ly6c_monocytes"
"162" 0 1.16118986013618 0.405 0.145 0 8 "Ly6c2" "Ly6c_monocytes"
"163" 0 1.12039750490043 0.959 0.467 0 8 "H2-Ab1" "Ly6c_monocytes"
"164" 0 1.11339717415494 0.959 0.459 0 8 "H2-Aa" "Ly6c_monocytes"
"165" 0 1.06020977810385 0.943 0.434 0 8 "H2-Eb1" "Ly6c_monocytes"
"166" 0 0.838770210027269 0.797 0.283 0 8 "H2-DMb1" "Ly6c_monocytes"
"167" 0 0.796314140164319 0.925 0.7 0 8 "Ifi27l2a" "Ly6c_monocytes"
"168" 0 0.78930360357172 0.703 0.291 0 8 "Ms4a4c" "Ly6c_monocytes"
"169" 0 0.74523508377986 0.429 0.12 0 8 "Tnip3" "Ly6c_monocytes"
"170" 0 0.737290698967676 0.954 0.547 0 8 "Cybb" "Ly6c_monocytes"
"171" 0 0.709257322959093 0.661 0.245 0 8 "Ccr2" "Ly6c_monocytes"
"172" 0 0.681860662747705 0.62 0.254 0 8 "Slamf7" "Ly6c_monocytes"
"173" 0 0.673823307345544 0.814 0.446 0 8 "Cd83" "Ly6c_monocytes"
"174" 0 0.669630802292589 0.95 0.594 0 8 "Ms4a6c" "Ly6c_monocytes"
"175" 0 0.665191523416882 0.829 0.36 0 8 "H2-DMa" "Ly6c_monocytes"
"176" 0 0.655945798080032 1 0.677 0 8 "Ctss" "Ly6c_monocytes"
"177" 0 0.632362458405226 0.822 0.552 0 8 "Cxcl16" "Ly6c_monocytes"
"178" 0 0.631661081204979 0.536 0.22 0 8 "Arl5c" "Ly6c_monocytes"
"179" 0 0.613167212691186 0.994 0.652 0 8 "Cd52" "Ly6c_monocytes"
"180" 5.58488985929068e-265 1.00573156205222 0.481 0.223 1.04102346977178e-260 8 "Plac8" "Ly6c_monocytes"
"181" 0 2.28204895957692 0.992 0.557 0 9 "Fabp5" "Ilr7_activated_macro"
"182" 0 2.19991747871862 0.978 0.334 0 9 "Gpnmb" "Ilr7_activated_macro"
"183" 0 1.6213393180899 1 0.891 0 9 "Ctsd" "Ilr7_activated_macro"
"184" 0 1.58771772596211 0.937 0.216 0 9 "Syngr1" "Ilr7_activated_macro"
"185" 0 1.55519162107244 1 0.738 0 9 "Lgals3" "Ilr7_activated_macro"
"186" 0 1.48967066792566 0.971 0.548 0 9 "Spp1" "Ilr7_activated_macro"
"187" 0 1.37537210515257 1 0.949 0 9 "Ctsb" "Ilr7_activated_macro"
"188" 0 1.33900198211836 0.995 0.455 0 9 "Trem2" "Ilr7_activated_macro"
"189" 0 1.31753373826973 0.999 0.596 0 9 "Cd68" "Ilr7_activated_macro"
"190" 0 1.25419319924934 1 0.95 0 9 "Psap" "Ilr7_activated_macro"
"191" 0 1.12914149412317 1 0.997 0 9 "Ftl1" "Ilr7_activated_macro"
"192" 0 1.12356934686947 1 0.679 0 9 "Ctss" "Ilr7_activated_macro"
"193" 0 1.08592988872085 1 0.833 0 9 "Grn" "Ilr7_activated_macro"
"194" 0 1.04369492983612 0.961 0.654 0 9 "Hexb" "Ilr7_activated_macro"
"195" 0 1.03587662051797 0.99 0.598 0 9 "Mpeg1" "Ilr7_activated_macro"
"196" 0 0.990040932383944 0.901 0.386 0 9 "Pld3" "Ilr7_activated_macro"
"197" 0 0.987281981982898 1 0.886 0 9 "Cyba" "Ilr7_activated_macro"
"198" 0 0.983476327909993 1 0.704 0 9 "Lgmn" "Ilr7_activated_macro"
"199" 0 0.98327857887797 1 0.928 0 9 "Ctsz" "Ilr7_activated_macro"
"200" 0 0.96614496041313 0.988 0.677 0 9 "Plin2" "Ilr7_activated_macro"
"201" 0 2.64777476796922 0.905 0.222 0 10 "Cxcl14" "Cxcl14_FAPs"
"202" 0 2.52738211533588 0.995 0.305 0 10 "Smoc2" "Cxcl14_FAPs"
"203" 0 2.46651278589741 1 0.801 0 10 "Gsn" "Cxcl14_FAPs"
"204" 0 2.24079583835508 0.962 0.156 0 10 "Ccl11" "Cxcl14_FAPs"
"205" 0 2.22447596490863 1 0.504 0 10 "Dcn" "Cxcl14_FAPs"
"206" 0 2.05190581235561 0.861 0.106 0 10 "Myoc" "Cxcl14_FAPs"
"207" 0 1.99406904215087 0.887 0.085 0 10 "Hsd11b1" "Cxcl14_FAPs"
"208" 0 1.80806862909387 0.924 0.114 0 10 "Crispld2" "Cxcl14_FAPs"
"209" 0 1.78468566995501 0.916 0.246 0 10 "Apod" "Cxcl14_FAPs"
"210" 0 1.69689101869535 0.994 0.36 0 10 "Lum" "Cxcl14_FAPs"
"211" 0 1.66323347019409 0.991 0.336 0 10 "Col4a1" "Cxcl14_FAPs"
"212" 0 1.66304995681364 0.977 0.156 0 10 "Dpep1" "Cxcl14_FAPs"
"213" 0 1.54612718326103 0.978 0.206 0 10 "Rarres2" "Cxcl14_FAPs"
"214" 0 1.54368520970783 0.963 0.184 0 10 "Htra3" "Cxcl14_FAPs"
"215" 0 1.53531756306273 0.994 0.246 0 10 "Clec3b" "Cxcl14_FAPs"
"216" 0 1.52144349112506 1 0.351 0 10 "Serping1" "Cxcl14_FAPs"
"217" 0 1.51961711126772 0.988 0.247 0 10 "Itih5" "Cxcl14_FAPs"
"218" 0 1.51811338061139 0.983 0.183 0 10 "Abca8a" "Cxcl14_FAPs"
"219" 0 1.48180376426914 0.979 0.251 0 10 "Col4a2" "Cxcl14_FAPs"
"220" 0 1.46252358401236 0.941 0.18 0 10 "Col15a1" "Cxcl14_FAPs"
"221" 0 2.90880994717262 0.925 0.089 0 11 "Pi16" "Dpp4_FAPs"
"222" 0 2.63940397785406 0.859 0.145 0 11 "Igfbp5" "Dpp4_FAPs"
"223" 0 2.4824433652106 0.999 0.365 0 11 "Igfbp6" "Dpp4_FAPs"
"224" 0 2.2248791707599 0.998 0.364 0 11 "Fbn1" "Dpp4_FAPs"
"225" 0 2.19377374480281 0.953 0.28 0 11 "Ugdh" "Dpp4_FAPs"
"226" 0 2.06851045105077 0.954 0.089 0 11 "Cd55" "Dpp4_FAPs"
"227" 0 2.06608318017254 0.941 0.072 0 11 "Pcolce2" "Dpp4_FAPs"
"228" 0 2.03447975474055 0.985 0.15 0 11 "Ly6c1" "Dpp4_FAPs"
"229" 0 2.02120620750584 0.999 0.377 0 11 "Mfap5" "Dpp4_FAPs"
"230" 0 1.99122713719398 0.92 0.079 0 11 "Efemp1" "Dpp4_FAPs"
"231" 0 1.97179106963722 0.999 0.249 0 11 "Clec3b" "Dpp4_FAPs"
"232" 0 1.95680100787159 0.769 0.113 0 11 "Myoc" "Dpp4_FAPs"
"233" 0 1.91915646898591 0.997 0.233 0 11 "Cd34" "Dpp4_FAPs"
"234" 0 1.8852995441107 0.995 0.198 0 11 "Adamts5" "Dpp4_FAPs"
"235" 0 1.87000728294846 0.937 0.073 0 11 "Sema3c" "Dpp4_FAPs"
"236" 0 1.81574428518358 0.721 0.126 0 11 "Has1" "Dpp4_FAPs"
"237" 0 1.7584037693327 0.999 0.43 0 11 "Fstl1" "Dpp4_FAPs"
"238" 0 1.74278965765763 0.952 0.091 0 11 "Pcsk6" "Dpp4_FAPs"
"239" 0 1.73335880274981 1 0.802 0 11 "Gsn" "Dpp4_FAPs"
"240" 0 1.72496570712527 0.925 0.14 0 11 "Gfpt2" "Dpp4_FAPs"
"241" 0 1.79178534845717 0.424 0.12 0 12 "Ccl8" "M2"
"242" 0 1.17656790243326 0.894 0.496 0 12 "C1qa" "M2"
"243" 0 1.134520579341 0.764 0.27 0 12 "Mrc1" "M2"
"244" 0 1.11097623481178 0.577 0.126 0 12 "Cbr2" "M2"
"245" 0 1.08753327243783 0.645 0.163 0 12 "Folr2" "M2"
"246" 0 1.06135018712983 0.919 0.443 0 12 "Pltp" "M2"
"247" 0 1.05219875980123 0.895 0.496 0 12 "C1qc" "M2"
"248" 0 1.02656537537821 0.915 0.55 0 12 "C1qb" "M2"
"249" 0 1.01127339063155 0.675 0.207 0 12 "Fcrls" "M2"
"250" 0 0.973439429252792 0.734 0.283 0 12 "Stab1" "M2"
"251" 0 0.930773365609463 0.609 0.237 0 12 "F13a1" "M2"
"252" 0 0.918107125573954 0.827 0.475 0 12 "Maf" "M2"
"253" 0 0.907883706341196 0.963 0.52 0 12 "Csf1r" "M2"
"254" 0 0.828845483903857 0.859 0.519 0 12 "Dab2" "M2"
"255" 0 0.824032352258361 0.936 0.635 0 12 "Ctsc" "M2"
"256" 0 0.818438670600419 0.994 0.835 0 12 "Grn" "M2"
"257" 1.97076126405146e-302 1.01200995918595 0.914 0.794 3.67349899619191e-298 12 "Sepp1" "M2"
"258" 2.30808471000065e-263 0.912853398069903 0.917 0.704 4.30226989944122e-259 12 "Ifi27l2a" "M2"
"259" 1.05997133703747e-47 1.12165283501623 0.123 0.3 1.97578657223784e-43 12 "Ctsk" "M2"
"260" 5.76317166075311e-14 1.37569942024347 0.321 0.253 1.07425519756438e-09 12 "Acp5" "M2"
"261" 0 2.90999225458374 0.885 0.053 0 13 "Dlk1" "Dlk1_FAPs"
"262" 0 2.38718713192317 0.999 0.415 0 13 "Meg3" "Dlk1_FAPs"
"263" 0 2.37798181420979 0.994 0.375 0 13 "Itm2a" "Dlk1_FAPs"
"264" 0 2.17699281783734 0.856 0.073 0 13 "Igf2" "Dlk1_FAPs"
"265" 0 2.14162839276569 0.953 0.221 0 13 "Cdkn1c" "Dlk1_FAPs"
"266" 0 1.98463536874788 1 0.598 0 13 "Col3a1" "Dlk1_FAPs"
"267" 0 1.89394859554363 0.811 0.132 0 13 "H19" "Dlk1_FAPs"
"268" 0 1.81937733866365 0.906 0.119 0 13 "Mfap4" "Dlk1_FAPs"
"269" 0 1.8162090890478 0.947 0.174 0 13 "Mest" "Dlk1_FAPs"
"270" 0 1.8116428997951 1 0.535 0 13 "Col1a1" "Dlk1_FAPs"
"271" 0 1.80600083079162 0.934 0.145 0 13 "Plagl1" "Dlk1_FAPs"
"272" 0 1.78957175494964 0.998 0.244 0 13 "Postn" "Dlk1_FAPs"
"273" 0 1.70612336856064 0.995 0.364 0 13 "Lum" "Dlk1_FAPs"
"274" 0 1.62249379498055 0.95 0.165 0 13 "Peg3" "Dlk1_FAPs"
"275" 0 1.60529957482659 0.97 0.177 0 13 "Mfap2" "Dlk1_FAPs"
"276" 0 1.60010737305879 0.999 0.381 0 13 "Col6a3" "Dlk1_FAPs"
"277" 0 1.57599628052708 1 0.576 0 13 "Col1a2" "Dlk1_FAPs"
"278" 0 1.51768379657286 0.826 0.147 0 13 "Cilp" "Dlk1_FAPs"
"279" 0 1.49634155134925 0.99 0.379 0 13 "Mfap5" "Dlk1_FAPs"
"280" 0 1.48867146826881 1 0.431 0 13 "Col5a2" "Dlk1_FAPs"
"281" 0 5.25983167956293 1 0.158 0 14 "Tnnc2" "SM"
"282" 0 5.25009173285623 1 0.197 0 14 "Acta1" "SM"
"283" 0 5.17451957099307 1 0.238 0 14 "Mylpf" "SM"
"284" 0 5.16585235314532 1 0.154 0 14 "Tnnt3" "SM"
"285" 0 5.05628515314902 1 0.168 0 14 "Myl1" "SM"
"286" 0 4.95025450553962 1 0.127 0 14 "Ckm" "SM"
"287" 0 4.85200762482474 1 0.177 0 14 "Tnni2" "SM"
"288" 0 4.6771898960073 1 0.563 0 14 "Tpm1" "SM"
"289" 0 3.78835509368049 0.993 0.053 0 14 "Pvalb" "SM"
"290" 0 3.78308215507939 0.998 0.089 0 14 "Eno3" "SM"
"291" 0 3.69075747885855 1 0.202 0 14 "Tpm2" "SM"
"292" 0 3.55092675228736 0.995 0.03 0 14 "Tcap" "SM"
"293" 0 3.50466675903927 1 0.867 0 14 "Aldoa" "SM"
"294" 0 3.43967920916433 0.998 0.031 0 14 "Pgam2" "SM"
"295" 0 3.32626044350336 0.998 0.047 0 14 "Cox6a2" "SM"
"296" 0 3.13507836932355 0.719 0.019 0 14 "Mb" "SM"
"297" 0 3.13018352785463 0.931 0.016 0 14 "Car3" "SM"
"298" 0 3.10884085128064 0.834 0.019 0 14 "Myh4" "SM"
"299" 0 3.08950868679211 1 0.73 0 14 "Slc25a4" "SM"
"300" 0 3.04006644452316 0.996 0.025 0 14 "Myoz1" "SM"
"301" 0 2.19763518650581 0.643 0.054 0 15 "Ttn" "MuSC"
"302" 0 2.17306574987129 0.294 0.012 0 15 "Myog" "MuSC"
"303" 0 1.63918176600079 0.974 0.638 0 15 "Ppp1r14b" "MuSC"
"304" 0 1.63529292634101 0.71 0.109 0 15 "Acta2" "MuSC"
"305" 0 1.60570037516009 0.875 0.097 0 15 "Des" "MuSC"
"306" 0 1.58406980759218 0.907 0.244 0 15 "Dag1" "MuSC"
"307" 0 1.47230492362814 0.86 0.169 0 15 "Peg3" "MuSC"
"308" 0 1.40495333855745 0.875 0.206 0 15 "Crip2" "MuSC"
"309" 0 1.34927369150729 0.674 0.005 0 15 "Chrna1" "MuSC"
"310" 0 1.31949349912367 0.851 0.4 0 15 "Hspb1" "MuSC"
"311" 0 1.30628309016816 0.746 0.182 0 15 "Mest" "MuSC"
"312" 0 1.30504207878774 0.726 0.12 0 15 "Tubb2b" "MuSC"
"313" 0 1.26846302916762 0.687 0.062 0 15 "C1qtnf3" "MuSC"
"314" 0 1.26286877330011 0.293 0.009 0 15 "Tnnt2" "MuSC"
"315" 0 1.20734103437539 0.747 0.004 0 15 "Cdh15" "MuSC"
"316" 0 1.19380977981338 0.531 0.033 0 15 "Tnnt1" "MuSC"
"317" 0 1.18462213864606 0.774 0.177 0 15 "Map1b" "MuSC"
"318" 0 1.15579583837932 0.575 0.026 0 15 "Nes" "MuSC"
"319" 0 1.13460436367535 0.337 0.007 0 15 "Gal" "MuSC"
"320" 1.33878814639381e-267 1.79646694683949 0.565 0.235 2.49550110487806e-263 15 "Cdkn1c" "MuSC"
"321" 0 1.21002661188713 0.998 0.419 0 16 "Meg3" "Fibroblasts"
"322" 0 1.20097206277455 1 0.601 0 16 "Col3a1" "Fibroblasts"
"323" 0 1.16429864165076 0.495 0.07 0 16 "Dlk1" "Fibroblasts"
"324" 0 1.13803229002639 0.99 0.38 0 16 "Itm2a" "Fibroblasts"
