"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"celltype"	"clusternames"
"80"	2.86793908397268e-17	2.73960302922033	0.435	0.24	1.00377867939044e-13	"7"	"C1qb"	NA	"B_lymphocytes.CD4"
"81"	2.30285888529672e-226	2.75192425694246	1	0.316	8.06000609853853e-223	"8"	"Gucy1a3"	NA	"Smooth muscle"
"82"	9.81477824378333e-209	2.11587906341912	0.875	0.029	3.43517238532417e-205	"8"	"Myh11"	NA	"Smooth muscle"
"83"	9.33301904686866e-197	4.2067752288235	0.989	0.076	3.26655666640403e-193	"8"	"Rgs5"	NA	"Smooth muscle"
"84"	7.38313074885005e-189	2.89635063042854	0.97	0.188	2.58409576209752e-185	"8"	"Tagln"	NA	"Smooth muscle"
"85"	9.8980766068983e-178	2.44632272509271	0.974	0.195	3.4643268124144e-174	"8"	"Myl9"	NA	"Smooth muscle"
"86"	6.1820169020708e-160	2.00647017049499	0.952	0.179	2.16370591572478e-156	"8"	"Rasl11a"	NA	"Smooth muscle"
"87"	9.69621357867557e-153	2.09708385245534	0.952	0.324	3.39367475253645e-149	"8"	"Mylk"	NA	"Smooth muscle"
"88"	1.31790795866118e-116	2.00272428398923	0.996	0.649	4.61267785531412e-113	"8"	"Pdgfrb"	NA	"Smooth muscle"
"89"	9.29289827323018e-107	3.0841106430655	0.856	0.091	3.25251439563056e-103	"8"	"Acta2"	NA	"Smooth muscle"
"90"	4.65891789742015e-96	2.62687606510916	0.819	0.201	1.63062126409705e-92	"8"	"Kcnj8"	NA	"Smooth muscle"
"91"	0	2.17694869006748	0.925	0.081	0	"9"	"Chodl"	NA	"MuSc"
"92"	0	1.78654180984722	0.917	0.045	0	"9"	"Pax7"	NA	"MuSc"
"93"	1.78158996539088e-131	1.81123083301824	0.929	0.52	6.23556487886806e-128	"9"	"Peg3"	NA	"MuSc"
"94"	1.48200353851759e-118	2.20474101880517	0.96	0.672	5.18701238481155e-115	"9"	"Sdc4"	NA	"MuSc"
"95"	3.37961576990969e-113	1.62196117427374	0.692	0.225	1.18286551946839e-109	"9"	"Gal"	NA	"MuSc"
"96"	3.74441311589601e-103	2.33491948325234	0.814	0.399	1.3105445905636e-99	"9"	"Nppc"	NA	"MuSc"
"97"	5.5474481286847e-93	1.61628616238187	0.743	0.24	1.94160684503964e-89	"9"	"Asb5"	NA	"MuSc"
"98"	7.2931871677382e-81	1.69999287182424	0.937	0.721	2.55261550870837e-77	"9"	"Errfi1"	NA	"MuSc"
"99"	4.91408573905652e-72	1.77597454844758	0.957	0.764	1.71993000866978e-68	"9"	"Meg3"	NA	"MuSc"
"100"	2.68541422387675e-56	1.79069740043381	0.866	0.694	9.39894978356863e-53	"9"	"Dnajb1"	NA	"MuSc"
"101"	0	2.58070398865733	0.732	0.013	0	"10"	"Kera"	NA	"Tenocytes"
"102"	4.93559801000298e-258	2.42593289223044	0.916	0.093	1.72745930350104e-254	"10"	"Cilp2"	NA	"Tenocytes"
"103"	1.39340474550931e-197	3.25775763109243	0.962	0.192	4.87691660928258e-194	"10"	"Tnmd"	NA	"Tenocytes"
"104"	7.55718252787448e-191	2.30830698772998	1	0.335	2.64501388475607e-187	"10"	"Col12a1"	NA	"Tenocytes"
"105"	5.82459936561792e-178	4.24573044525017	0.996	0.083	2.03860977796627e-174	"10"	"Fmod"	NA	"Tenocytes"
"106"	4.22287617355586e-160	3.99334635784458	0.987	0.483	1.47800666074455e-156	"10"	"Thbs4"	NA	"Tenocytes"
"107"	4.02225598212467e-115	2.57168840931911	0.812	0.181	1.40778959374363e-111	"10"	"Mfap4"	NA	"Tenocytes"
"108"	7.62650176194701e-107	2.57611385705101	0.707	0.142	2.66927561668145e-103	"10"	"1500015O10Rik"	NA	"Tenocytes"
"109"	1.34612384149384e-104	2.8720815389156	0.795	0.269	4.71143344522845e-101	"10"	"Comp"	NA	"Tenocytes"
"110"	1.41472528343745e-82	2.37653522075071	0.665	0.109	4.95153849203106e-79	"10"	"Angptl7"	NA	"Tenocytes"
"111"	7.91280473907183e-98	2.01921461756084	0.966	0.352	2.76948165867514e-94	"11"	"Srgn"	NA	"Early T"
"112"	6.03181836106912e-74	2.35069740326944	0.695	0.24	2.11113642637419e-70	"11"	"Rgs1"	NA	"Early T"
"113"	2.57243139774943e-72	1.96390700261147	0.655	0.191	9.003509892123e-69	"11"	"Cd69"	NA	"Early T"
"114"	9.46612678864618e-70	1.91948010200804	0.799	0.364	3.31314437602616e-66	"11"	"Cd52"	NA	"Early T"
"115"	6.22587394514415e-66	1.99062588869164	0.764	0.195	2.17905588080045e-62	"11"	"Ctla2a"	NA	"Early T"
"116"	3.31644703720977e-62	2.20125694264252	0.276	0.023	1.16075646302342e-58	"11"	"Gzma"	NA	"Early T"
"117"	1.51894983271086e-52	2.11375265697277	0.764	0.405	5.31632441448801e-49	"11"	"Rgs2"	NA	"Early T"
"118"	2.44451791422262e-18	2.91551095328823	0.299	0.074	8.55581269977917e-15	"11"	"Ccl5"	NA	"Early T"
"119"	6.4369145424441e-08	2.92159494074432	0.172	0.251	0.000225292008985543	"11"	"Cma1"	NA	"Early T"
"120"	8.4730452706068e-05	2.27075975115293	0.466	0.412	0.296556584471238	"11"	"Gm26917"	NA	"Early T"
"121"	1.31278321779056e-102	3.31614783362138	0.994	0.706	4.59474126226695e-99	"12"	"Apod"	NA	"FAPs?, Smoc2++"
"122"	1.83603258992393e-90	1.58760970484168	0.954	0.316	6.42611406473377e-87	"12"	"Rasgrp2"	NA	"FAPs?, Smoc2++"
"123"	2.35730311291472e-90	1.77027490774779	0.942	0.502	8.25056089520153e-87	"12"	"Matn2"	NA	"FAPs?, Smoc2++"
"124"	9.16385543232858e-76	2.04230127224458	0.936	0.546	3.207349401315e-72	"12"	"Gpc3"	NA	"FAPs?, Smoc2++"
"125"	7.13831250050898e-72	1.63077879446711	0.983	0.73	2.49840937517814e-68	"12"	"Smoc2"	NA	"FAPs?, Smoc2++"
"126"	1.1743443070336e-71	1.68209302034006	0.983	0.747	4.11020507461759e-68	"12"	"Igf1"	NA	"FAPs?, Smoc2++"
"127"	2.03314973076371e-69	1.64031060014099	0.988	0.738	7.116024057673e-66	"12"	"Lum"	NA	"FAPs?, Smoc2++"
"128"	1.43626874330442e-57	1.76530834421888	0.902	0.407	5.02694060156548e-54	"12"	"Apoe"	NA	"FAPs?, Smoc2++"
"129"	2.53705355567908e-47	1.65247433760566	0.902	0.659	8.87968744487678e-44	"12"	"Cxcl14"	NA	"FAPs?, Smoc2++"
"130"	1.27535905940961e-41	2.65097593170001	0.844	0.529	4.46375670793363e-38	"12"	"Trf"	NA	"FAPs?, Smoc2++"
"131"	0	3.01757497448902	0.986	0.003	0	"13"	"Mal"	NA	"Schwann cells"
"132"	0	2.54116238806211	0.924	0.008	0	"13"	"Mt3"	NA	"Schwann cells"
"133"	1.18358236726563e-249	2.98149947596755	1	0.045	4.1425382854297e-246	"13"	"Gatm"	NA	"Schwann cells"
"134"	2.16600495912671e-140	2.75365638047998	0.944	0.022	7.58101735694347e-137	"13"	"Fxyd3"	NA	"Schwann cells"
"135"	4.59762113226527e-123	5.4334534982483	1	0.053	1.60916739629284e-119	"13"	"Mpz"	NA	"Schwann cells"
"136"	1.17439214059369e-110	3.27249439638232	1	0.104	4.11037249207793e-107	"13"	"Mbp"	NA	"Schwann cells"
"137"	1.20391524827507e-101	2.65760579102835	0.944	0.23	4.21370336896275e-98	"13"	"Plp1"	NA	"Schwann cells"
"138"	4.16077207213348e-97	3.14290679369395	0.993	0.435	1.45627022524672e-93	"13"	"Nr4a2"	NA	"Schwann cells"
"139"	1.31519730812124e-92	2.88144898129746	1	0.768	4.60319057842433e-89	"13"	"Pmp22"	NA	"Schwann cells"
"140"	2.85989733526046e-88	2.51812554754077	0.993	0.531	1.00096406734116e-84	"13"	"Ndrg1"	NA	"Schwann cells"
"141"	3.08272101445667e-277	3.71247220878513	0.941	0.069	1.07895235505983e-273	"14"	"Slpi"	NA	"Neutrophyls_macrophages"
"142"	2.6493893852675e-142	3.81335034156315	0.822	0.122	9.27286284843626e-139	"14"	"Retnlg"	NA	"Neutrophyls_macrophages"
"143"	1.93242758889019e-113	3.18164598009535	0.898	0.212	6.76349656111568e-110	"14"	"Clec4e"	NA	"Neutrophyls_macrophages"
"144"	3.55521469829246e-112	6.49423063674339	1	0.293	1.24432514440236e-108	"14"	"S100a9"	NA	"Neutrophyls_macrophages"
"145"	3.926112614297e-106	4.14595472502648	0.983	0.307	1.37413941500395e-102	"14"	"Il1b"	NA	"Neutrophyls_macrophages"
"146"	9.50395257917785e-100	3.15643339297461	0.949	0.304	3.32638340271225e-96	"14"	"Hdc"	NA	"Neutrophyls_macrophages"
"147"	1.44762280807318e-98	3.23809064958713	1	0.364	5.06667982825612e-95	"14"	"Cd52"	NA	"Neutrophyls_macrophages"
"148"	7.99571054340763e-98	6.32462168813856	0.992	0.334	2.79849869019267e-94	"14"	"S100a8"	NA	"Neutrophyls_macrophages"
"149"	7.10520235063566e-93	3.8489400404382	1	0.345	2.48682082272248e-89	"14"	"Tyrobp"	NA	"Neutrophyls_macrophages"
"150"	4.59755659376178e-85	3.56577369396784	1	0.355	1.60914480781662e-81	"14"	"Srgn"	NA	"Neutrophyls_macrophages"
"151"	1.53252208465301e-23	0.753135203780906	0.956	0.531	5.36382729628553e-20	"15"	"Neb"	NA	"?FAPs??"
"152"	5.92341503573354e-23	0.576357620829293	0.985	0.335	2.07319526250674e-19	"15"	"Atp2a1"	NA	"?FAPs??"
"153"	1.31700317748469e-22	0.678117184634456	0.985	0.464	4.6095111211964e-19	"15"	"Pvalb"	NA	"?FAPs??"
"154"	1.82237516596885e-22	0.566746034079094	0.971	0.343	6.37831308089098e-19	"15"	"Car3"	NA	"?FAPs??"
"155"	2.54806035835797e-21	0.975781308857424	0.882	0.385	8.91821125425289e-18	"15"	"Ttn"	NA	"?FAPs??"
"156"	1.30711165316707e-18	1.12662612579448	0.912	0.556	4.57489078608473e-15	"15"	"Xirp2"	NA	"?FAPs??"
"157"	3.29072808204589e-15	0.764179985365134	0.794	0.518	1.15175482871606e-11	"15"	"Myh4"	NA	"?FAPs??"
"158"	0.000236785542831976	0.849923445150764	0.603	0.532	0.828749399911916	"15"	"Inmt"	NA	"?FAPs??"
"159"	0.000345536931288818	0.564911162775183	0.515	0.451	1	"15"	"Myh1"	NA	"?FAPs??"
"160"	0.000956203900045762	0.908246117315978	0.176	0.42	1	"15"	"Cxcl10"	NA	"?FAPs??"
"161"	1.35811941254662e-125	3.12874633594014	0.936	0.032	4.75341794391315e-122	"16"	"Col20a1"	NA	"Schwann cells"
"162"	2.07828174695249e-39	2.53494824518344	0.979	0.237	7.27398611433371e-36	"16"	"Plp1"	NA	"Schwann cells"
"163"	3.74515768509948e-39	3.02985647265723	1	0.354	1.31080518978482e-35	"16"	"Ptn"	NA	"Schwann cells"
"164"	1.02439721702238e-36	2.65873920973111	1	0.294	3.58539025957834e-33	"16"	"Pou3f1"	NA	"Schwann cells"
"165"	2.79456239556153e-34	2.68473593593499	1	0.362	9.78096838446535e-31	"16"	"Csrp1"	NA	"Schwann cells"
"166"	2.59821316994669e-32	2.95377862449604	1	0.811	9.09374609481341e-29	"16"	"Dbi"	NA	"Schwann cells"
"167"	7.31083039503859e-31	2.52858142513744	0.979	0.484	2.55879063826351e-27	"16"	"Lgi4"	NA	"Schwann cells"
"168"	4.1206724652775e-30	2.91620140868322	0.979	0.274	1.44223536284712e-26	"16"	"Lyz2"	NA	"Schwann cells"
"169"	7.84153717957989e-29	2.47853396595925	0.894	0.175	2.74453801285296e-25	"16"	"Tinagl1"	NA	"Schwann cells"
"170"	1.15723641472662e-27	2.56560485741979	0.851	0.187	4.05032745154318e-24	"16"	"Postn"	NA	"Schwann cells"
